GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0021300869,2014-02-28,1610612752,1610612744,103,126,105,104,NYK,GSW,Regular Season,2013-14,1610612744,Klay Thompson,29.05,3,,25,2,1,7,0.5714285714285714,10,0.5,1,1,0,0.45121951219512196
0021300842,2014-02-24,1610612765,1610612744,96,104,92,93,DET,GSW,Regular Season,2013-14,1610612744,Klay Thompson,29.4666666666667,3,3,19,1,1,9,0.6666666666666666,3,0.6666666666666666,2,1,0,0.35365853658536583
0021300855,2014-02-26,1610612741,1610612744,103,83,94,96,CHI,GSW,Regular Season,2013-14,1610612741,Klay Thompson,23.5333333333333,2,,8,,2,4,0.25,4,0.5,1,0,0,0.5853658536585366
0021300884,2014-03-02,1610612761,1610612744,104,98,92,92,TOR,GSW,Regular Season,2013-14,1610612761,Klay Thompson,26.5333333333333,3,1,12,2,5,8,0.25,7,0.2857142857142857,,0,0,0.5853658536585366
0021300899,2014-03-04,1610612754,1610612744,96,98,90,92,IND,GSW,Regular Season,2013-14,1610612744,Klay Thompson,41.2333333333333,5,1,25,2,1,15,0.4666666666666667,5,0.6,2,1,0,0.6829268292682927
0021300907,2014-03-05,1610612738,1610612744,88,108,96,96,BOS,GSW,Regular Season,2013-14,1610612744,Klay Thompson,27.75,1,,18,3,1,7,0.8571428571428571,8,0.125,4,1,0,0.3048780487804878
0021300994,2014-03-16,1610612757,1610612744,112,113,100,98,POR,GSW,Regular Season,2013-14,1610612744,Klay Thompson,38.8333333333333,4,2,27,4,4,12,0.5833333333333334,7,0.42857142857142855,,1,0,0.6585365853658537
0021300967,2014-03-12,1610612746,1610612744,111,98,97,96,LAC,GSW,Regular Season,2013-14,1610612746,Klay Thompson,34.1333333333333,1,3,26,2,2,13,0.46153846153846156,6,0.6666666666666666,1,0,0,0.6951219512195121
0021301112,2014-04-01,1610612742,1610612744,120,122,93,95,DAL,GSW,Regular Season,2013-14,1610612744,Klay Thompson,47.1666666666667,5,2,27,1,3,15,0.4666666666666667,9,0.4444444444444444,5,1,0,0.5975609756097561
0021301123,2014-04-02,1610612759,1610612744,111,90,94,94,SAS,GSW,Regular Season,2013-14,1610612759,Klay Thompson,32.7166666666667,2,,15,2,2,5,0.4,3,1,2,0,0,0.7560975609756098
