GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0022000260,2021-01-25,1610612751,1610612748,98,85,93,94,BKN,MIA,Regular Season,2020-21,1610612751,,,,,,,,,,,,,0,0,0.6666666666666666
0022000364,2021-02-07,1610612752,1610612748,103,109,93,92,NYK,MIA,Regular Season,2020-21,1610612748,Tyler Herro,32.4,6,2,16,,1,10,0.5,3,0.6666666666666666,4,1,0,0.5694444444444444
0022000443,2021-02-17,1610612744,1610612748,120,112,109,108,GSW,MIA,Regular Season,2020-21,1610612744,Tyler Herro,39.3333333333333,15,2,11,3,1,7,0.14285714285714285,8,0.25,4,0,0,0.5416666666666666
0022000447,2021-02-18,1610612758,1610612748,110,118,99,100,SAC,MIA,Regular Season,2020-21,1610612748,Tyler Herro,32.4333333333333,4,3,27,1,3,13,0.7692307692307693,4,0.5,3,1,0,0.4305555555555556
0022000475,2021-02-22,1610612760,1610612748,94,108,94,93,OKC,MIA,Regular Season,2020-21,1610612748,,,,,,,,,,,,,1,0,0.3055555555555556
0022000392,2021-02-11,1610612745,1610612748,94,101,98,99,HOU,MIA,Regular Season,2020-21,1610612748,,,,,,,,,,,,,1,0,0.2361111111111111
0022000410,2021-02-13,1610612762,1610612748,112,94,102,101,UTA,MIA,Regular Season,2020-21,1610612762,Tyler Herro,32.5833333333333,3,3,12,,4,8,0.375,8,0.25,6,0,0,0.7222222222222222
0022000425,2021-02-15,1610612746,1610612748,125,118,95,95,LAC,MIA,Regular Season,2020-21,1610612746,Tyler Herro,40.7,5,2,27,1,1,10,0.7,10,0.4,2,0,0,0.6527777777777778
0022000463,2021-02-20,1610612747,1610612748,94,96,96,95,LAL,MIA,Regular Season,2020-21,1610612748,Tyler Herro,13.75,4,1,5,,,2,0.5,3,0.3333333333333333,3,1,0,0.5833333333333334
0022000596,2021-03-14,1610612753,1610612748,97,102,97,98,ORL,MIA,Regular Season,2020-21,1610612748,Tyler Herro,29.3833333333333,8,2,22,2,1,8,0.5,8,0.5,3,1,0,0.2916666666666667
0022000557,2021-03-04,1610612740,1610612748,93,103,90,90,NOP,MIA,Regular Season,2020-21,1610612748,Tyler Herro,27.05,2,,2,,1,4,0.25,2,,1,1,0,0.4305555555555556
0022000582,2021-03-12,1610612741,1610612748,90,101,97,96,CHI,MIA,Regular Season,2020-21,1610612748,Tyler Herro,23.3,4,1,4,2,2,4,0.25,3,,1,1,0,0.4305555555555556
0022000623,2021-03-17,1610612763,1610612748,89,85,93,94,MEM,MIA,Regular Season,2020-21,1610612763,Tyler Herro,25.7,5,2,11,2,,8,0.375,3,0.3333333333333333,2,0,0,0.5277777777777778
0022000686,2021-03-26,1610612766,1610612748,110,105,93,93,CHA,MIA,Regular Season,2020-21,1610612766,Tyler Herro,32.9166666666667,4,2,13,,,11,0.45454545454545453,5,0.2,3,0,0,0.4583333333333333
